datetime,open,high,low,close,volume,trade_count,vwap
2022-08-16 04:00:00+00:00,427.73,431.71,426.895,429.72,889212.0,9366.0,429.314272
2022-08-17 04:00:00+00:00,425.96,429.48,424.565,426.67,955055.0,7557.0,426.717553
2022-08-18 04:00:00+00:00,426.86,428.6,425.525,427.82,843759.0,8369.0,427.102615
2022-08-19 04:00:00+00:00,424.85,425.24,421.245,422.19,1311955.0,10660.0,422.720965
2022-08-22 04:00:00+00:00,417.04,417.225,412.405,413.41,1506564.0,13776.0,414.255567
2022-08-23 04:00:00+00:00,412.84,415.405,411.78,412.3,1094373.0,10489.0,413.292157
2022-08-24 04:00:00+00:00,412.03,415.105,411.47,413.66,820436.0,7857.0,413.48442
2022-08-25 04:00:00+00:00,415.22,419.56,414.15,419.52,953924.0,9083.0,416.987578
2022-08-26 04:00:00+00:00,419.46,419.89,405.29,405.35,1616118.0,11450.0,410.451273
2022-08-29 04:00:00+00:00,402.22,405.82,401.2,402.63,1459284.0,13862.0,403.370348
2022-08-30 04:00:00+00:00,403.97,404.03,396.01,398.17,1586931.0,12943.0,398.551439
2022-08-31 04:00:00+00:00,399.92,401.21,395.05,395.11,1484931.0,12128.0,397.319771
2022-09-01 04:00:00+00:00,392.84,396.78,390.06,396.33,1672423.0,14485.0,393.038504
2022-09-02 04:00:00+00:00,400.27,401.55,390.335,392.19,2121598.0,17184.0,395.2897
2022-09-06 04:00:00+00:00,393.15,394.12,388.475,390.83,1205303.0,10423.0,391.265108
2022-09-07 04:00:00+00:00,390.41,398.55,390.3,397.82,1216815.0,10486.0,395.511435
2022-09-08 04:00:00+00:00,395.34,400.85,394.17,400.375,1898322.0,13754.0,397.965792
2022-09-09 04:00:00+00:00,402.74,407.51,402.5,406.51,1405507.0,11470.0,405.892879
2022-09-12 04:00:00+00:00,408.77,411.71,408.5,411.02,1053304.0,9447.0,410.315733
2022-09-13 04:00:00+00:00,401.8,403.1,391.93,393.03,2951925.0,25185.0,397.104671
